SEQ_NM,WEEKS,DAYS,FMLE_CURNT_CNT,SPAWN_RT,AVRG_SPAWN_WT,CNT_PER_FEED_QY,AVRG_WGH,CNT_PER_BEV_QY,BEV_FODR_RATE,TOP_TP,LWET_TP,TOP_HMDT,LWET_HMDT
1442,44,3,107355,69.77,62.4,117.1,0,221,1.89,19,20,45,59
1443,44,4,107340,76.25,62.4,120.3,0,197,1.64,19,21.9,38,66
1444,44,5,107329,76.73,62.4,121.8,0,193,1.59,19.3,21.7,38,66
1445,44,6,107321,75.37,62.3,125.3,0,186,1.49,19,25,40,62
1446,44,7,107311,78.24,62.3,118.3,2209,185,1.57,19,20,46,64
1447,45,1,107297,76.11,62.5,124.2,0,187,1.51,19,20,48,65
1448,45,2,107285,75.73,62.6,122.6,0,188,1.54,18,21,32,64
1449,45,3,107276,77.14,62.6,121.2,0,191,1.58,19,20,40,62
1450,45,4,107271,75.01,62.6,118.9,0,185,1.56,19,20,47,64
1451,45,5,107264,75.92,62.5,119.7,0,185,1.55,19,21,33,62
1452,45,6,107256,76,62.4,121,0,183,1.52,18.9,20.5,40,60
1453,45,7,107244,76.1,62.6,119.5,2179,182,1.53,18,20,41,63
1454,46,1,107232,76.84,62.7,119.3,0,187,1.57,19,20,49,64
1455,46,2,107217,74.13,62.7,120.8,0,189,1.57,18,21,36,62
1456,46,3,107205,76.61,62.6,115,0,193,1.69,19,20.6,44,61
1457,46,4,107192,75.3,62.5,116.3,0,195,1.68,19,20,42,62
1458,46,5,107178,74.75,62.6,120.1,0,196,1.64,19,22,33,63
1459,46,6,107163,76.08,62.7,118.3,0,199,1.68,19,21,44,61
1460,46,7,107154,74.2,62.8,125.8,2218,191,1.52,19,21,44,61
1461,47,1,107142,73.33,62.7,113.4,0,190,1.68,19,22,47,62
1462,47,2,107136,74.94,62.7,118.8,0,189,1.59,19,22,40,63
1463,47,3,107124,75.43,62.7,119.4,0,198,1.66,19,20,40,53
1464,47,4,107113,75.4,62.7,119.4,0,195,1.64,19,20,38,62
1465,47,5,107101,74.59,62.6,116.5,0,198,1.71,19,20,31,62
1466,47,6,107087,74.63,62.6,120.4,0,199,1.66,19,21,39,62
1467,47,7,107077,76.32,62.9,114.1,2235,198,1.74,19,20,47,63
1468,48,1,107065,75.2,62.9,121.8,0,201,1.66,19.1,21.1,42,63
1469,48,2,107046,77.24,62.6,120.4,0,202,1.69,19,21,42,63
1470,48,3,107030,69.9,63,121.8,0,198,1.63,19,21,44,63
1471,48,4,107018,74.52,62.6,119.6,0,198,1.66,19,21,43,60
1472,48,5,107009,74.43,62.9,121.4,0,195,1.61,19,21,43,60
1473,48,6,106996,74.25,62.9,120.7,0,196,1.63,19,21,44,59
1474,48,7,106985,75.96,62.9,119.2,2206,194,1.63,20,21,44,59
1475,49,1,106976,73.96,63,119.8,0,192,1.61,19,21,29,61
1476,49,2,106966,73.74,63.1,119.5,0,198,1.66,19,21,37,59
1477,49,3,106955,74.32,63.1,119.5,0,199,1.67,19,21,45,62
1478,49,4,106942,73.66,63.1,119.9,0,198,1.66,19,21,38,63
1479,49,5,106923,74.57,63.1,121.5,0,196,1.61,19,21,32,62
1480,49,6,106915,77.22,63,119.5,0,199,1.67,19.8,21,41,60
1481,49,7,106904,71.78,63,116.7,2230,195,1.67,19,21,45,60
1482,50,1,106891,73.81,63,119.5,0,198,1.66,19,21,45,60
1483,50,2,106884,75.46,62.8,120.8,0,197,1.63,19,21,31,64
1484,50,3,106875,72.54,62.9,118.3,0,199,1.69,19,21,40,59
1485,50,4,106865,80.25,62.9,118.2,0,198,1.68,19,21,40,59
1486,50,5,106852,67.38,62.9,118.1,0,197,1.67,17,21,40,61
1487,50,6,106845,73.71,62.9,119.3,0,201,1.69,19,21,45,61
1488,50,7,106832,72.63,62.9,121.3,2254,200,1.65,20,21,44,63
1489,51,1,106818,76.31,62.9,119.2,0,200,1.68,20,21,44,63
1490,51,2,106811,71.73,63,119.7,0,199,1.67,19,22,44,64
1491,51,3,106807,74.87,63,118.8,0,194,1.64,20,21,47,63
1492,51,4,106797,76.31,63,123.7,0,202,1.64,20,21,46,63
1493,51,5,106788,71.21,63.1,122.7,0,199,1.62,20,22,34,62
1494,51,6,106782,73.93,63.2,117.1,0,201,1.72,20,22,32,59
1495,51,7,106771,72.33,63.2,117.4,2240,200,1.71,20,22,39,63
1496,52,1,106759,73.73,63.2,121.3,0,198,1.64,20,21,47,63
1497,52,2,106745,73.2,63.2,120.2,0,199,1.66,20,23,39,63
1498,52,3,106733,74.38,0,119.4,0,200,1.68,20,22,34,59
1499,52,4,106720,73.18,63.2,117.4,0,198,1.69,20,23,41,61
1500,52,5,106706,75.31,63.1,117.9,0,199,1.69,20,24,28,62
1501,52,6,106695,72.17,63.3,118.8,0,198,1.67,20,23,34,59
1502,52,7,106678,75.32,63.2,121.1,2266,195,1.62,20,22,33,59
1503,53,1,106667,72.8,63.2,119.5,0,195,1.63,20,22,39,62
1504,53,2,106655,74.63,63.2,118,0,199,1.69,20,24,36,62
1505,53,3,106644,72.34,63.2,118.5,0,200,1.69,21,22,44,63
1506,53,4,106638,73.05,63.1,119.3,0,200,1.68,20,22,43,62
1507,53,5,106622,76.17,63.2,121.3,0,199,1.65,20,23,30,61
1508,53,6,106603,70.44,63.2,123.1,0,201,1.64,20,22,30,59
1509,53,7,106592,73.95,63,117.4,2263,194,1.66,20,23,27,59
1510,54,1,106579,74.23,63,119.6,0,191,1.6,20,22,45,64
1511,54,2,106559,72.67,63,119.8,0,194,1.62,20,22,36,63
1512,54,3,106547,73.87,62.9,119.5,0,196,1.65,20,21,38,55
1513,54,4,106535,74.66,63,119.8,0,192,1.61,20,22,36,60
1514,54,5,106515,74.19,63,122.1,0,189,1.55,20,23,29,61
1515,54,6,106497,71.89,63.2,121.1,0,188,1.56,20,21,40,59
1516,54,7,106488,73.93,63.1,121.1,2271,188,1.55,20,22,39,60
1517,55,1,106473,74.15,63,121.1,0,188,1.55,20,23,32,59
1518,55,2,106458,75.64,63,121.7,0,193,1.59,20,25,34,58
1519,55,3,106444,71.84,63.2,120.4,0,188,1.57,20,25,43,63
1520,55,4,106429,75.03,63.1,121,0,183,1.52,20,22,51,64
1521,55,5,106413,71.78,63.2,119,0,189,1.59,20,22,30,58
1522,55,6,106397,75.1,63.2,119.8,0,185,1.55,20,22,39,55
1523,55,7,106387,74.07,63.2,121,2250,188,1.56,20,21,40,58
1524,56,1,106376,73.47,63.2,125,0,192,1.54,20,22,41,58
1525,56,2,106357,75.05,63.3,119.5,0,191,1.6,20,24,31,59
1526,56,3,106344,72.71,63.3,120.6,0,210,1.75,20,24,40,62
1527,56,4,106321,72.53,63.3,121.1,0,230,1.9,20,23,36,62
1528,56,5,106295,73.42,63.3,123,0,191,1.56,21,23,30,57
1529,56,6,106288,74.32,63.2,120.4,0,231,1.92,21,23,41,56
1530,56,7,106275,77.36,63.3,120.4,2298,196,1.64,21,22,41,55
1531,57,1,106258,68.48,63.3,122.8,0,191,1.56,21,22,41,55
1532,57,2,106238,73.64,63.2,121.4,0,214,1.77,20,23,30,58
1533,57,3,106225,73.59,63.2,121.8,0,195,1.61,20,23,33,56
1534,57,4,106211,72.67,63.2,120.1,0,222,1.86,21,23,32,57
1535,57,5,106189,73.18,63.1,120.5,0,208,1.73,21,24,33,57
1536,57,6,106171,74.71,63.1,119.5,0,196,1.6,21,24,31,56
1537,57,7,106160,72.17,63.1,121.5,2314,212,1.73,21,24,27,52
1538,58,1,106145,72.87,63.1,120.9,0,187,1.55,21,24,32,55
1539,58,2,106127,73.92,63.2,121.4,0,192,1.59,21,25,26,57
1540,58,3,106117,74.33,63.1,118.5,0,187,1.58,21,23,48,60
1541,58,4,106109,72.65,63.1,122.2,0,187,1.53,21,24,43,59
1542,58,5,106092,73.04,63.2,120.8,0,191,1.59,21,24,33,60
1543,58,6,106079,73.69,63.2,118,0,192,1.64,21,24,30,56
1544,58,7,106065,72.57,63.1,119.2,2296,193,1.58,21,24,44,57
1545,59,1,106048,72.78,63.1,119.5,0,199,1.67,21,27,33,59
1546,59,2,106030,73.18,63.2,118.3,0,206,1.75,22,27,23,58
1547,59,3,106023,72.89,63.2,118.5,0,207,1.75,22,27,30,59
1548,59,4,106008,73.39,63.1,119.3,0,197,1.66,22,25,47,64
1549,59,5,105994,74.55,63.2,120.6,0,221,1.8,22,27,40,64
1550,59,6,105978,72.78,63.2,119.8,0,198,1.66,23,26,45,63
1551,59,7,105965,78.25,63.1,120.3,2277,196,1.63,22,26,57,73
1552,60,1,105948,67.04,63.2,120,0,205,1.71,22,29,30,63
1553,60,2,105941,72.6,63.1,119.8,0,217,1.81,22,28,40,62
1554,60,3,105926,72.7,63.1,120.5,0,226,1.88,23,27.6,53,65
1555,60,4,105915,74.12,63.1,115.9,0,194,1.68,22,26,51,64
1556,60,5,105909,71.09,63.2,117.6,0,189,1.61,22.3,24,44,63
1557,60,6,105897,77.45,63.1,117.6,0,195,1.66,22,26,43,56
1558,60,7,105878,68.53,63,117.7,2318,198,1.69,22,26,41,61
1559,61,1,105854,72.41,63,119.6,0,197,1.65,22,25,45,62
1560,61,2,105835,72.48,63,118.8,0,214,1.8,22,27,40,63
1561,61,3,105821,72.17,63,118.6,0,196,1.65,22,26,46,57
1562,61,4,105803,72.49,63,118.5,0,202,1.71,22,27,33,59
1563,61,5,105785,71.9,63,119.7,0,204,1.7,22,28,28,57
1564,61,6,105772,72.48,62.9,118.8,0,202,1.7,22,28,43,70
1565,61,7,105763,72.54,62.9,121.3,2311,199,1.65,22,27,25,58
1566,62,1,105752,72.71,62.9,116.6,0,197,1.69,22,26,27,56
1567,62,2,105740,72.27,62.9,117.8,0,202,1.72,22,27,25,59
1568,62,3,105722,72.78,63,116.4,0,213,1.83,22,26,39,56
1569,62,4,105701,72.48,63,117.6,0,199,1.7,22,26,30,58
1570,62,5,105687,72.21,63,118.7,0,199,1.71,22,28,36,59
1571,62,6,105674,74.18,63,119.1,0,203,1.7,22,27,36,57
1572,62,7,105664,70.23,62.9,119.8,2313,198,1.66,22,29,34,58
1573,63,1,105647,70.31,62.9,120.1,0,200,1.67,22,27,37,59
1574,63,2,105630,73.35,62.9,117.5,0,203,1.73,22,28,36,62
1575,63,3,105617,72.02,62.8,118.2,0,208,1.76,23,29,41,63
1576,63,4,105597,69.54,62.9,116.5,0,234,2.01,23,30,35,64
1577,63,5,105581,72.31,62.9,114.4,0,220,1.93,23.6,30.3,40,67
1578,63,6,105570,71.88,62.9,120.1,0,218,1.82,24,26,49,60
1579,63,7,105555,71.26,62.8,118,2313,213,1.81,24,26,58,75
1580,64,1,105535,71.58,63.1,114.1,0,226,1.99,21,25,43,72
1581,64,2,105519,71.88,62.9,113.5,0,202,1.78,21,26,34,62
1582,64,3,105503,70.16,62.8,108.6,0,217,2,21,28,31,62
1583,64,4,105482,70.92,62.8,115,0,222,1.94,22,30,29,67
1584,64,5,105466,69.88,62.7,117.3,0,252,2.15,22,33,41,67
1585,64,6,105436,70.72,62.8,107.4,0,204,1.9,23,30,33,65
1586,64,7,105421,70.46,62.6,111.4,2300,210,1.89,23,31,32,67
1587,65,1,105401,72.53,62.6,113.6,0,185,1.63,23,25,53,74
1588,65,2,105388,71.08,62.6,112,0,192,1.72,22,26,32,60
1589,65,3,105374,71.45,62.6,114.2,0,214,1.88,22,28,32,61
1590,65,4,105357,73.66,62.7,113.4,0,199,1.76,22,28,42,61
1591,65,5,105346,67.51,62.8,117,0,202,1.73,23,26,39,62
1592,65,6,105333,70.69,62.9,115.5,0,199,1.73,22,26,51,63
1593,65,7,105313,70.13,62.9,117.4,2296,205,1.75,22,28,27,63
1594,66,1,105297,71.02,62.7,116.6,0,215,1.85,23,29,36,63
1595,66,2,105283,69.33,62.7,115.7,0,222,1.92,23,30,36,68
1596,66,3,105268,70.31,62.8,111.8,0,196,1.75,23,28,57,71
1597,66,4,105256,73.81,62.8,114.2,0,200,0,23.6,28.9,57,74
1598,66,5,105243,65.85,62.9,112.5,0,197,1.75,23,27,53,71
1599,66,6,105221,73.16,62.9,118.1,0,201,1.7,23,29,47,67
1600,66,7,105208,68.34,62.8,116.4,2284,206,1.78,23,28,55,68
1601,67,1,105198,70.23,62.9,117,0,200,1.72,23.6,26.2,51,70
1602,67,2,105186,68.59,63,117.6,0,205,1.75,23,28,42,62
1603,67,3,105169,69.93,63,116.7,0,216,1.85,23,27,51,67
1604,67,4,105149,70.55,63,117.8,0,213,1.81,23,30,44,67
1605,67,5,105136,68.96,63,117.7,0,205,1.75,23,29,46,67
1606,67,6,105110,69.66,63,117.1,0,197,1.7,23,27,58,67
1607,67,7,105098,69.77,63,117.1,2292,214,1.83,23,29,47,69
1608,68,1,105085,70.2,62.9,119.6,0,199,1.67,23,28,52,70
1609,68,2,105073,68.97,62.8,116.4,0,204,1.75,23,28,55,72
1610,68,3,105055,71.63,62.9,118.4,0,199,1.69,23,29,56,71
1611,68,4,105024,67.04,62.8,119.9,0,203,1.7,23,29,53,74
1612,68,5,105014,69.47,62.9,119,0,204,1.72,23,29,56,74
1613,68,6,104986,69.45,62.8,119.4,0,216,1.81,23,31,41,72
1614,68,7,104970,69.9,62.8,118.7,2300,212,1.79,23,30,40,70
1615,69,1,104952,71.3,62.9,117.3,0,209,1.78,23,30,44,70
1616,69,2,104938,65.8,63,117.8,0,211,1.79,23,31,44,71
1617,69,3,104923,71.46,62.9,114.2,0,200,1.75,22,29,53,75
1618,69,4,104910,66,63,117.3,0,205,1.76,24,30,58,76
1619,69,5,104886,67.46,63,119.3,0,216,1.82,24,30,58,76
1620,69,6,104871,70.42,63.1,115.6,0,196,1.7,24,28,64,77
1621,69,7,104857,71.06,63.1,117.2,2312,216,1.84,23,29,62,77
1622,70,1,104841,65.65,63.2,120.9,0,210,1.74,22,29,45,78
1623,70,2,104828,67.67,63.1,119.2,0,208,1.75,22,30,56,92
1624,70,3,104812,70.34,63.1,117.1,0,200,1.71,22,28,62,79
1625,70,4,104801,67.17,63.1,121.5,0,195,1.61,22,28,54,79
1626,70,5,104789,71.74,63.3,120.7,0,214,1.78,22,32,43,79
1627,70,6,104770,67.06,63.3,119.6,0,220,1.84,23,32,44,70
1628,70,7,104759,66.96,63.4,115.7,2305,225,1.95,25,32,38,62
1629,71,1,104739,67.6,63.1,117.3,0,215,1.84,23,31,42,56
1630,71,2,104720,66.79,63,116.4,0,220,1.89,22,31,42,56
1631,71,3,104700,69.74,62.9,115.6,0,195,1.69,22,28,48,78
1632,71,4,104685,68.65,63.1,114,0,195,1.72,22,26,62,75
1633,71,5,104677,69.69,62.9,119.9,0,205,1.71,23,29,52,72
1634,71,6,104662,65.67,63.1,115.2,0,205,1.79,24,29,59,75
1635,71,7,104603,106.21,62.9,70.9,0,200,2.84,23,31,48,76
1636,72,1,104153,34.94,63.4,0,0,74,0,23,27,69,100
1637,72,2,104153,0.47,0,0,0,0,0,0,0,0,0
1638,11,3,0,0,0,0,0,0,0,0,0,0,0
1639,11,4,0,0,0,0,0,0,0,0,0,0,0
1640,11,5,0,0,0,0,0,0,0,0,0,0,0
1641,11,6,121500,0,0,81.7,0,105,1.29,11,23,31,84
1642,11,7,121491,0,0,78.2,0,136,1.75,21,23,47,64
1643,12,1,121478,0,0,81.5,0,108,1.33,21,27,36,66
1644,12,2,121468,0,0,72,0,120,1.57,21,26,28,65
1645,12,3,121460,0,0,69.3,0,119,1.57,22,25,32,64
1646,12,4,121450,0,0,70.6,0,115,1.64,22,25,50,70
1647,12,5,121424,0,0,72.2,0,133,1.85,21,27,0,0
1648,12,6,121406,0,0,77,0,118,1.54,21,25,47,71
1649,12,7,121391,0,0,75.7,1175,120,1.59,21,25,51,70
1650,13,1,121367,0,0,76.4,0,126,1.66,21,29,30,68
1651,13,2,121361,0,0,75.2,0,116,1.55,21,27,43,70
